date,value
2023-10-03,102260892.76092292
2023-10-04,102114627.54329708
2023-10-05,102123631.12896828
2023-10-06,102137060.76764417
2023-10-09,102229099.98751166
2023-10-10,102253044.18525617
2023-10-11,102349343.6276867
2023-10-12,102557281.99404697
2023-10-13,102570565.52674158
2023-10-16,102573980.35526988
2023-10-17,102607840.77535206
2023-10-18,102569197.98008811
2023-10-19,102562356.21311569
2023-10-20,102550976.91691601
2023-10-23,102501315.38194609
2023-10-25,102455187.7044218
2023-10-26,102464684.12799926
2023-10-27,102531044.64183584
2023-10-30,102606624.00140066
2023-10-31,102525907.03555897
2023-11-01,102391234.5730332
2023-11-02,102432588.63882837
2023-11-03,102563623.75302364
2023-11-06,102636656.69164634
2023-11-07,102615081.1477828
2023-11-08,102780617.87671056
2023-11-09,102780409.80267966
2023-11-10,102712020.4611839
2023-11-13,102785593.25957462
2023-11-15,102900607.83050315
2023-11-16,102951002.02403858
2023-11-17,103242966.47798213
2023-11-20,103112075.6395902
2023-11-21,103136985.16717474
2023-11-22,103204703.7092056
2023-11-23,103375239.96532871
2023-11-24,103486427.16189468
2023-11-28,103598960.37298237
2023-11-29,103783844.21816874
2023-11-30,103787640.32697083
2023-12-01,103999706.19002305
2023-12-04,103972060.70218313
2023-12-05,103967722.844619
2023-12-06,103900383.48792307
2023-12-07,104049148.87962763
2023-12-08,103966128.09174146
2023-12-11,104107210.2722502
2023-12-12,104132899.97279787
2023-12-13,104536036.03782672
2023-12-14,104662466.43245952
2023-12-15,104517720.4999211
2023-12-18,104426928.06616767
2023-12-19,104277876.79826693
2023-12-20,104184000.66937655
2023-12-21,104167050.34068789
2023-12-22,104272577.95789216
2023-12-26,104411666.7479394
2023-12-27,104496222.44487508
2023-12-28,104452061.30686107
2023-12-29,104555707.78531525
2024-01-01,104522639.06793088
2024-01-02,104278040.24649693
2024-01-03,104419106.30035165
2024-01-04,104343758.16138123
2024-01-05,104327335.42435932
2024-01-08,104616308.20481358
2024-01-09,104522793.75451615
2024-01-10,104529446.65834607
2024-01-11,104862785.23450844
2024-01-12,104854943.72688784
2024-01-15,104534533.76870005
2024-01-16,104594876.09756596
2024-01-17,104510477.15446001
2024-01-18,104483832.43974891
2024-01-19,104612290.22099298
2024-01-23,104362221.4873524
2024-01-24,104430351.25243406
2024-01-25,104127575.23046972
2024-01-29,104247116.55779637
2024-01-30,104211032.87854946
2024-01-31,104433508.49204905
2024-02-01,104402384.03346327
2024-02-02,104658027.38982703
2024-02-05,104549674.24355459
2024-02-06,104669356.24834974
2024-02-07,104753840.74913499
2024-02-08,104598255.41331813
2024-02-09,104618050.57097127
2024-02-12,104608497.22855355
2024-02-13,104652641.18817571
2024-02-14,104879182.85748169
2024-02-15,104905374.43423203
2024-02-16,105143486.43644966
2024-02-19,105047609.22150928
2024-02-20,105036071.70904393
2024-02-21,104906596.64536786
2024-02-22,105090979.78561038
2024-02-23,105024300.49002281
2024-02-26,105267336.06210315
2024-02-27,105114543.05428024
2024-02-28,104910486.34384984
2024-02-29,105146990.32024938
2024-03-01,105695520.80363816
2024-03-04,105640955.83581445
2024-03-05,105899427.4673372
2024-03-06,105894587.03370531
2024-03-07,105785888.43088068
2024-03-11,105832190.2611416
2024-03-12,105694004.12227891
2024-03-13,105176054.0169609
2024-03-14,105195143.93472235
2024-03-15,104745424.47920734
2024-03-18,104556128.95628881
2024-03-19,104655768.66488975
2024-03-20,104618002.7422043
2024-03-21,104727627.18177548
2024-03-22,104704366.28815562
2024-03-26,104880291.15734576
2024-03-27,105100710.33838357
2024-03-28,105258259.8704486
2024-04-01,105187683.48776154
2024-04-02,105250859.30154887
2024-04-03,104995640.32407565
2024-04-04,104897641.43440637
2024-04-05,104801573.03925943
2024-04-08,105154607.79106753
2024-04-09,104965870.41570105
2024-04-10,104956662.89619501
2024-04-12,104674605.54809496
2024-04-15,104413335.84416224
2024-04-16,104275645.67268164
2024-04-18,104079848.68791384
2024-04-19,103845499.51961881
2024-04-22,104094565.62281114
2024-04-23,104150125.05237666
2024-04-24,104213442.53273372
2024-04-25,104448305.80985276
2024-04-26,104509293.37873004
2024-04-29,104623466.77700755
2024-04-30,104756185.79675144
2024-05-02,104829973.60535531
2024-05-03,104714432.25228202
2024-05-06,104737848.50487185
